year,game_kind,player_id,player_name,team_code,team_name,kph,kph_max,pitch_type,pitches,spin_rate,spin_rate_max,throws
2026,A,0000007790,魔爾曼,AJL011,樂天桃猿,146.7195761247248,150.49028852352,fastball,170,2318.383083529411,2531.0222,R
2026,A,0000002345,鄭浩均,ACN011,中信兄弟,147.6745204313901,154.33411010688,fastball,170,2385.3898741176477,3294.477,R
2026,A,0000000368,游霆崴,AEO011,富邦悍將,125.90435956727407,135.47036143872,breakingball,164,1890.7969575609768,2414.8464,R
2026,A,0000001719,胡智爲,ADD011,統一7-ELEVEn獅,137.42154672368935,143.10924148224,breakingball,153,2155.307537254903,2515.7974,R
2026,A,0000006555,梅賽鍶,AAA011,味全龍,127.98842928070731,138.137639904,breakingball,152,2124.9746730263155,2455.1792,L
2026,A,0000007787,黎克,ACN011,中信兄弟,148.64449831751205,151.17850839168,fastball,151,2105.209869536423,2417.0984,R
2026,A,0000005731,布雷克,ADD011,統一7-ELEVEn獅,132.5988201725251,142.25509824768,breakingball,149,1611.3923297315441,3263.1023,R
2026,A,0000000762,伍鐸,AAA011,味全龍,127.7100809137372,136.4348734848,breakingball,147,2375.116969387757,2763.4172,R
2026,A,0000006160,李超,AAA011,味全龍,146.4994622943122,150.521541984,fastball,146,2535.6250068493136,2702.288,R
2026,A,0000007228,鈴木駿輔,AEO011,富邦悍將,148.04238118174018,152.158647168,fastball,145,2250.6920434482763,2509.7974,R
2026,A,0000000773,李吳永勤,AEO011,富邦悍將,138.90661492978293,143.7256041408,fastball,140,2266.0880085714307,2505.2268,L
2026,A,0000000771,陳琥,ACN011,中信兄弟,129.56768338325182,138.18851126784,breakingball,139,1965.5829791366905,2871.8765,R
2026,A,0000006507,後勁,AKP011,台鋼雄鷹,145.97912227536,150.36979693824,fastball,136,2377.8874867647055,2654.774,R
2026,A,0000007778,喬登,ADD011,統一7-ELEVEn獅,150.66973594567222,153.82285370496,fastball,133,2331.249245864662,2538.5996,R
2026,A,0000006832,陳柏清,AKP011,台鋼雄鷹,143.90725583495816,147.37823565696,fastball,131,2150.196920610687,2295.3152,L
2026,A,0000007570,坎南,AKP011,台鋼雄鷹,146.0039889613292,149.90577478272,fastball,130,2201.596313076923,2461.8904,R
2026,A,0000006295,銳力獅,ADD011,統一7-ELEVEn獅,133.48786791396574,142.25913770112,breakingball,126,2231.798569841271,2614.1074,R
2026,A,0000000941,陳冠宇,AJL011,樂天桃猿,128.48001316660222,138.3912725184,breakingball,125,1906.6802212800008,2554.7761,L
2026,A,0000005555,陳冠偉,AAA011,味全龍,145.1417016749429,147.6560245248,fastball,122,2333.363090163935,2570.5515,R
2026,A,0000006237,林子崴,AJL011,樂天桃猿,145.05755738772982,147.8229134976,fastball,122,2041.335354098361,2192.838,L
2026,A,0000000771,陳琥,ACN011,中信兄弟,146.51612523081596,151.70096582784,fastball,120,2413.2083125000004,2619.0454,R
2026,A,0000006227,曾峻岳,AEO011,富邦悍將,152.37244415407733,155.15254199808,fastball,118,2440.6996669491523,2567.4094,R
2026,A,0000005541,郭郁政,AAA011,味全龍,142.96965296531258,148.54360992768,fastball,113,2153.2280380530974,2387.5217,R
2026,A,0000006237,林子崴,AJL011,樂天桃猿,132.5703186652114,136.82531643264,breakingball,112,1825.6366491071433,2259.9587,L
2026,A,0000005561,李建勳,AEO011,富邦悍將,148.44579268262396,153.03551433984,fastball,110,2196.72717909091,2502.9731,R
2026,A,0000003639,呂彥青,ACN011,中信兄弟,127.75288176576001,136.15695586944,breakingball,110,2230.4992563636365,2721.549,L
2026,A,0000005790,張奕,AEO011,富邦悍將,148.71671997474067,153.06161789952,fastball,109,2254.300282568807,2430.0793,R
2026,A,0000005541,郭郁政,AAA011,味全龍,131.4769035014579,138.2063588928,breakingball,107,1950.9361829906547,3526.4346,R
2026,A,0000001821,林子昱,AAA011,味全龍,142.64321684297144,147.57262831872,fastball,105,2311.700051428571,2517.3066,R
2026,A,0000005790,張奕,AEO011,富邦悍將,137.10350273181257,146.13368166144,breakingball,105,2061.6056990476186,2731.4712,R
2026,A,0000007782,威戈神,AEO011,富邦悍將,142.2570563860431,145.57068484992,fastball,104,2367.7756836538465,2545.155,R
2026,A,0000001603,王維中,AKP011,台鋼雄鷹,128.5811087238277,139.01949604224,breakingball,104,2110.771419807693,2595.3643,L
2026,A,0000007290,張宥謙,ADD011,統一7-ELEVEn獅,143.70358194124037,148.61401872768,fastball,101,2256.0412554455443,2405.7498,R
2026,A,0000002280,廖任磊,AEO011,富邦悍將,148.38337375989866,153.09008719488,fastball,101,2117.1159930693057,2267.7083,R
2026,A,0000005788,林凱威,AAA011,味全龍,152.31172358016,155.2576804416,fastball,99,2533.792467676768,2663.05,R
2026,A,0000007053,艾速特,AKP011,台鋼雄鷹,146.15176817340003,149.73444402048,fastball,96,2363.9270572916657,2597.8247,L
2026,A,0000006870,林栚呈,AEO011,富邦悍將,142.08477265487997,145.1667716928,fastball,96,2330.0628260416665,2528.5623,R
2026,A,0000003331,李振昌,ACN011,中信兄弟,144.43409954109978,148.73216067072,fastball,95,2285.0151168421053,2436.2363,R
2026,A,0000006832,陳柏清,AKP011,台鋼雄鷹,127.88463819692461,136.4445295488,breakingball,95,2118.477915789473,2858.4849,L
2026,A,0000000128,朱承洋,AJL011,樂天桃猿,133.46023886839743,148.44350873088,breakingball,93,2421.83120967742,2596.8423,R
2026,A,0000006006,德保拉,ACN011,中信兄弟,143.2848364869368,147.66601855104,fastball,93,2066.8027602150546,2205.0186,L
2026,A,0000003639,呂彥青,ACN011,中信兄弟,141.8359384803757,146.1794514048,fastball,92,2383.127219565218,2566.2832,L
2026,A,0000001821,林子昱,AAA011,味全龍,129.45521642913394,139.42134923904,breakingball,92,1858.1233478260872,2434.5833,R
2026,A,0000000778,蔡齊哲,ACN011,中信兄弟,128.89841050178106,141.42161899008,breakingball,91,2326.9947186813192,3509.7446,R
2026,A,0000007299,陳品宏,AEO011,富邦悍將,139.705500201344,143.16109454592,fastball,90,2357.125198888888,2458.071,L
2026,A,0000001260,郭俊麟,ADD011,統一7-ELEVEn獅,132.21796627728003,139.30682832,breakingball,88,2421.431242045455,2698.2058,R
2026,A,0000006870,林栚呈,AEO011,富邦悍將,129.6306308716138,136.0363194432,breakingball,87,1828.1591218390806,2202.9749,R
2026,A,0000000368,游霆崴,AEO011,富邦悍將,137.1354764226207,141.9054360768,fastball,87,2112.2457839080457,2298.3254,R
2026,A,0000005789,林鋅杰,AAA011,味全龍,129.14262005640822,138.83437320192,breakingball,87,1891.1768359770115,2729.468,R
2026,A,0000005789,林鋅杰,AAA011,味全龍,145.09427523679258,148.76980322688,fastball,86,2496.83271627907,2698.628,R
2026,A,0000002280,廖任磊,AEO011,富邦悍將,130.57848919496936,138.37793105664,breakingball,86,2116.385293023256,2411.2683,R
2026,A,0000005479,江國豪,AEO011,富邦悍將,129.93764055458234,135.7825258944,breakingball,86,2265.3695930232566,2560.9182,R
2026,A,0000007593,石梓霖,AEO011,富邦悍將,146.34204645847345,150.24019646592,fastball,85,2424.038329411765,2645.853,R
2026,A,0000000941,陳冠宇,AJL011,樂天桃猿,146.75865181974854,149.7045585024,fastball,84,2269.9650273809516,2375.2627,L
2026,A,0000005555,陳冠偉,AAA011,味全龍,133.53579868254073,138.97359755136,breakingball,83,2036.673874698796,3512.3452,R
2026,A,0000005509,莊昕諺,AJL011,樂天桃猿,130.1318918632713,141.44096330496,breakingball,83,2345.2147144578316,2640.2012,R
2026,A,0000005788,林凱威,AAA011,味全龍,139.314515488999,147.24546477696,breakingball,82,2616.449884146341,3192.8591,R
2026,A,0000006006,德保拉,ACN011,中信兄弟,126.43328627192193,136.89075235968,breakingball,82,1968.9260060975612,2354.5132,L
2026,A,0000006818,髙塩將樹,ADD011,統一7-ELEVEn獅,142.24635076764443,146.28730963968,fastball,81,2244.164256790125,2369.1814,R
2026,A,0000001260,郭俊麟,ADD011,統一7-ELEVEn獅,143.86120505222402,147.88505026944,fastball,80,2338.0717212500003,2506.1174,R
2026,A,0000007622,錢可倫,ACN011,中信兄弟,123.78273600528003,131.5205001792,breakingball,80,2284.2160762499993,2558.0435,L
2026,A,0000006949,林詩翔,AKP011,台鋼雄鷹,129.89139445345205,138.6427325184,breakingball,79,2160.9860493670885,2719.038,R
2026,A,0000005509,莊昕諺,AJL011,樂天桃猿,146.63851347958155,151.6867875072,fastball,78,2521.455282051282,2661.6052,R
2026,A,0000005552,呂偉晟,AAA011,味全龍,148.04304458605714,153.331858944,fastball,77,1944.5204519480512,2308.3342,R
2026,A,0000001603,王維中,AKP011,台鋼雄鷹,140.63964763422314,146.42268765696,fastball,76,2127.3573605263146,2339.9905,L
2026,A,0000006767,許育銘,AKP011,台鋼雄鷹,137.33805557683203,142.27455521664,fastball,75,2125.255398666667,2317.091,L
2026,A,0000000773,李吳永勤,AEO011,富邦悍將,121.36832326936215,141.4628664768,breakingball,74,2343.5506608108108,2736.092,L
2026,A,0000003292,賴鴻誠,AEO011,富邦悍將,142.26259974803025,146.9693979072,fastball,74,2090.8837364864867,2295.481,L
2026,A,0000005561,李建勳,AEO011,富邦悍將,135.35838350365805,140.64422537088,breakingball,73,1524.6720236986305,2059.612,R
2026,A,0000006949,林詩翔,AKP011,台鋼雄鷹,145.47410431664,149.0514867072,fastball,72,2367.021386111113,2573.9841,R
2026,A,0000005558,蘇俊璋,AJL011,樂天桃猿,131.25926654367993,136.86204166272,breakingball,72,2168.8878812500006,3468.1145,R
2026,A,0000007299,陳品宏,AEO011,富邦悍將,126.43067037920004,138.8205650304,breakingball,72,2232.4327680555557,2619.0325,L
2026,A,0000005315,高偉強,ADD011,統一7-ELEVEn獅,144.20215205057823,147.4801232256,fastball,70,2155.2256242857134,2418.8718,R
2026,A,0000005479,江國豪,AEO011,富邦悍將,143.56840460222114,148.80709172736,fastball,68,2236.1133500000005,2385.4353,R
2026,A,0000006228,王志煊,AJL011,樂天桃猿,135.5691981171388,138.40747861248,fastball,68,2179.884842647059,2363.1624,L
2026,A,0000007293,鍾允華,ADD011,統一7-ELEVEn獅,151.92187783651337,154.89313183872,fastball,67,2260.4528298507457,2417.0886,R
2026,A,0000000128,朱承洋,AJL011,樂天桃猿,148.1189867416025,152.02685798784,fastball,65,2478.114463076924,2591.8906,R
2026,A,0000007580,韋宏亮,AKP011,台鋼雄鷹,147.50523295346215,149.88195649152,fastball,65,2473.9453692307698,2682.3455,R
2026,A,0000007622,錢可倫,ACN011,中信兄弟,138.37633654877996,142.07829571584,fastball,64,2248.4272453125004,2393.604,L
2026,A,0000006850,鄭副豪,ADD011,統一7-ELEVEn獅,148.35402230729144,151.38501941376,fastball,63,2394.220633333334,2621.24,R
2026,A,0000007283,陳冠穎,ACN011,中信兄弟,130.2065751509884,136.46908813824,breakingball,62,1704.6297548387097,2733.8398,R
2026,A,0000007290,張宥謙,ADD011,統一7-ELEVEn獅,127.19837834035201,134.64154927872,breakingball,60,1640.9747168333336,2939.4148,R
2026,A,0000002348,施子謙,AKP011,台鋼雄鷹,133.1216561642522,137.48743274112,breakingball,59,1974.6544474576274,2584.3645,R
2026,A,0000007783,阿部雄大,AEO011,富邦悍將,127.16529071869832,132.2278068672,breakingball,59,1555.2352050847455,2717.7551,L
2026,A,0000006833,陳宇宏,AKP011,台鋼雄鷹,132.32936029238235,137.01620072448,fastball,59,2308.781333898304,2482.9763,R
2026,A,0000007581,黃暐傑,AAA011,味全龍,151.0858150871431,154.9861036416,fastball,59,2522.4377440677968,2688.3325,R
2026,A,0000003292,賴鴻誠,AEO011,富邦悍將,129.42959439386482,140.36986440576,breakingball,58,1775.3646155172416,2100.1462,L
2026,A,0000005558,蘇俊璋,AJL011,樂天桃猿,144.18215783026756,147.75013896192,fastball,58,2177.076518965517,2309.1902,R
2026,A,0000007778,喬登,ADD011,統一7-ELEVEn獅,138.86792040111158,142.34417543808,breakingball,57,2006.002801754386,2427.205,R
2026,A,0000006295,銳力獅,ADD011,統一7-ELEVEn獅,146.1446042216914,149.54742215424,fastball,56,2396.795128571429,2534.4324,R
2026,A,0000006127,李其峰,ADD011,統一7-ELEVEn獅,145.26070324991997,147.90503832192,fastball,55,2164.2868545454544,2336.311,R
2026,A,0000000998,邱浩鈞,ADD011,統一7-ELEVEn獅,142.168440047616,145.71335319552,fastball,55,2305.0953963636366,2404.107,R
2026,A,0000002348,施子謙,AKP011,台鋼雄鷹,143.3520545365333,146.07506935296,fastball,54,2363.8377611111105,2635.0388,R
2026,A,0000006720,邱駿威,AJL011,樂天桃猿,129.70499951082664,137.11317979392,breakingball,54,2110.4443222222217,2509.9226,R
2026,A,0000007783,阿部雄大,AEO011,富邦悍將,143.0085749288533,147.06650572416,fastball,54,2471.4409333333333,2651.169,L
2026,A,0000006160,李超,AAA011,味全龍,127.33028463123694,134.47033117056,breakingball,52,2424.0186692307693,3358.8606,R
2026,A,0000001390,王躍霖,AKP011,台鋼雄鷹,141.6544953997292,146.05080044544,fastball,52,2229.6507461538463,2496.0083,R
2026,A,0000006818,髙塩將樹,ADD011,統一7-ELEVEn獅,123.15233109611523,132.58477545984,breakingball,50,1507.4157129999994,2504.6187,R
2026,A,0000007292,李軍,ADD011,統一7-ELEVEn獅,146.64103154173438,152.54377928064,fastball,50,2435.693268,2578.7388,L
