player_id,player_name,team_name,team_code,throws,pitch_type,pitches,kph_avg,kph_max,spin_rpm_avg,spin_rpm_max
0000002345,鄭浩均,中信兄弟,ACN011,R,breakingball,293,129.8156673183629,142.65318557952,2363.3105587030705,3137.6907
0000002345,鄭浩均,中信兄弟,ACN011,R,fastball,170,147.67452043139008,154.33411010688,2385.389874117647,3294.477
0000002348,施子謙,台鋼雄鷹,AKP011,R,breakingball,59,133.12165616425216,137.48743274112,1974.6544474576278,2584.3645
0000002348,施子謙,台鋼雄鷹,AKP011,R,fastball,54,143.3520545365333,146.07506935296,2363.837761111111,2635.0388
0000002679,江承諺,台鋼雄鷹,AKP011,L,fastball,174,134.99308985001935,140.51888966016,2223.485585057471,2410.122
0000002679,江承諺,台鋼雄鷹,AKP011,L,breakingball,164,116.21021466113562,131.96525848704,2098.731467073171,2627.4539
0000002695,林子崴,統一7-ELEVEn獅,ADD011,L,fastball,16,140.9162376996,144.89316711936,2148.2756937500003,2287.8816
0000002695,林子崴,統一7-ELEVEn獅,ADD011,L,breakingball,5,115.63539297868802,120.09378763008,2563.4983199999997,2758.5742
0000003292,賴鴻誠,富邦悍將,AEO011,L,fastball,74,142.26259974803025,146.9693979072,2090.8837364864867,2295.481
0000003292,賴鴻誠,富邦悍將,AEO011,L,breakingball,58,129.42959439386485,140.36986440576,1775.364615517242,2100.1462
0000003331,李振昌,中信兄弟,ACN011,R,fastball,83,144.2995611666506,147.82362160896,2276.7335120481935,2416.0632
0000003331,李振昌,中信兄弟,ACN011,R,breakingball,23,129.44362845261915,132.19697183616,1826.9274304347825,1949.5272
0000003334,*鄭凱文,中信兄弟二軍,ACN022,R,breakingball,74,123.85313409444326,138.23028983808,2188.407494594595,2652.4827
0000003334,*鄭凱文,中信兄弟二軍,ACN022,R,fastball,36,135.16075852223997,138.0279631104,2327.960361111112,2431.9285
0000003393,王鏡銘,統一7-ELEVEn獅二軍,ADD022,R,breakingball,14,128.20596539821713,131.70748985856,2099.6739714285713,2430.886
0000003393,王鏡銘,統一7-ELEVEn獅二軍,ADD022,R,fastball,14,134.73073682413715,136.306608768,2167.331978571429,2295.408
0000003506,謝榮豪,中信兄弟,ACN011,R,breakingball,36,127.34456855647997,130.39664698368,2218.811236111111,2437.0107
0000003506,謝榮豪,中信兄弟,ACN011,R,fastball,9,142.68466434816,144.87433779456,2072.5707444444442,2158.0068
0000003608,曾仁和,味全龍二軍,AAA022,R,breakingball,134,127.40328551902569,141.75705456,2020.7235022388072,2615.3284
0000003608,曾仁和,味全龍二軍,AAA022,R,fastball,77,139.0393162631315,142.86080704896,2106.3329597402594,2264.3213
0000003620,*江承峰,統一7-ELEVEn獅二軍,ADD022,R,fastball,9,133.78594690559999,134.9880732288,1927.652277777778,1994.3792
0000003620,*江承峰,統一7-ELEVEn獅二軍,ADD022,R,breakingball,8,123.52461332112,124.9235577216,1403.53575,1450.9827
0000003639,呂彥青,中信兄弟,ACN011,L,breakingball,103,128.00379807594877,136.15695586944,2213.645737864078,2721.549
0000003639,呂彥青,中信兄弟,ACN011,L,fastball,85,141.68603969998307,146.1794514048,2376.625338823529,2566.2832
0000004624,陳克羿,樂天桃猿二軍,AJL022,R,breakingball,127,131.84867063807997,147.32028317952,2780.921920472442,3079.7595
0000004624,陳克羿,樂天桃猿二軍,AJL022,R,fastball,124,146.38749870147092,150.13428553728,2277.4506725806455,2455.8728
0000004625,*吳俊偉,中信兄弟二軍,ACN022,R,breakingball,29,128.2233960603807,136.47071357568,1882.1912137931033,2262.1895
0000004625,*吳俊偉,中信兄弟二軍,ACN022,R,fastball,16,143.64841296168,146.17256341248,2346.4286375,2531.479
0000004626,王奕凱,中信兄弟二軍,ACN022,L,fastball,56,143.90775429284574,147.22071306624,2319.0442499999995,2453.156
0000004626,王奕凱,中信兄弟二軍,ACN022,L,breakingball,38,131.77365719009686,141.0271365888,2435.8897657894736,2592.498
0000004629,*楊彬,樂天桃猿二軍,AJL022,R,fastball,102,140.14769825325183,144.34291631232,2182.834603921568,2373.2012
0000004629,*楊彬,樂天桃猿二軍,AJL022,R,breakingball,41,128.9913273730185,141.31237671936,2155.605648780488,2379.4695
0000004637,劉軒荅,統一7-ELEVEn獅二軍,ADD022,R,fastball,19,141.00125833728003,144.00928320768,2413.836736842106,2569.1997
0000004637,劉軒荅,統一7-ELEVEn獅二軍,ADD022,R,breakingball,17,130.48319466398118,135.1927817856,2189.2396117647054,2694.4336
0000004646,*翁瑋均,味全龍二軍,AAA022,R,breakingball,29,123.96428103803586,132.4490112,1766.3078965517243,2061.107
0000004646,*翁瑋均,味全龍二軍,AAA022,R,fastball,24,130.79485367520002,135.97978318848,1904.2288791666667,2110.6658
0000005151,羅戈,中信兄弟,ACN011,R,breakingball,398,133.39033073899424,143.24857848576,2101.173274623116,2946.7805
0000005151,羅戈,中信兄弟,ACN011,R,fastball,236,150.08279887213018,154.05208866432,2219.962439830508,2421.2786
0000005282,姚杰宏,統一7-ELEVEn獅二軍,ADD022,R,fastball,11,141.55546813056,144.61788882816,2275.8741999999997,2365.7214
0000005282,姚杰宏,統一7-ELEVEn獅二軍,ADD022,R,breakingball,1,125.3414238912,125.3414238912,2481.5298,2481.5298
0000005315,高偉強,統一7-ELEVEn獅,ADD011,R,fastball,56,144.78690845746277,147.4801232256,2177.8238160714286,2418.8718
0000005315,高偉強,統一7-ELEVEn獅,ADD011,R,breakingball,35,131.04565081706056,135.80689136256,1991.0820694285715,2707.4985
0000005479,江國豪,富邦悍將,AEO011,R,breakingball,86,129.93764055458234,135.7825258944,2265.3695930232557,2560.9182
0000005479,江國豪,富邦悍將,AEO011,R,fastball,68,143.56840460222114,148.80709172736,2236.1133500000005,2385.4353
0000005482,吳承諭,統一7-ELEVEn獅,ADD011,R,fastball,22,137.24633399040002,142.64523542016,2064.414168181818,2216.812
0000005482,吳承諭,統一7-ELEVEn獅,ADD011,R,breakingball,19,127.66564188409264,132.1071865344,1301.8051968421053,1559.0824
0000005509,莊昕諺,樂天桃猿,AJL011,R,breakingball,83,130.13189186327133,141.44096330496,2345.214714457831,2640.2012
0000005509,莊昕諺,樂天桃猿,AJL011,R,fastball,78,146.63851347958155,151.6867875072,2521.4552820512813,2661.6052
0000005541,郭郁政,味全龍二軍,AAA022,R,fastball,119,140.87055228620375,146.547266976,2155.362421848739,2429.5627
0000005541,郭郁政,味全龍二軍,AAA022,R,breakingball,114,130.93896781874525,136.1317535424,2007.8737669298253,3347.0583
0000005552,呂偉晟,味全龍,AAA011,R,fastball,77,148.04304458605716,153.331858944,1944.5204519480512,2308.3342
0000005552,呂偉晟,味全龍,AAA011,R,breakingball,33,128.87311515648003,145.99914050304,2257.019451515151,2707.2869
0000005555,陳冠偉,味全龍,AAA011,R,fastball,115,145.0517946996647,147.6560245248,2335.1263426086957,2570.5515
0000005555,陳冠偉,味全龍,AAA011,R,breakingball,81,133.4761829553778,138.97359755136,2034.60510617284,3512.3452
0000005558,蘇俊璋,樂天桃猿,AJL011,R,breakingball,66,131.05930827456,136.30948949376,2131.982191666667,3468.1145
0000005558,蘇俊璋,樂天桃猿,AJL011,R,fastball,50,143.89194593664,147.59137717632,2162.882563999999,2309.1902
0000005561,李建勳,富邦悍將,AEO011,R,fastball,110,148.44579268262393,153.03551433984,2196.7271790909085,2502.9731
0000005561,李建勳,富邦悍將,AEO011,R,breakingball,73,135.3583835036581,140.64422537088,1524.67202369863,2059.612
0000005572,魏碩成,中信兄弟二軍,ACN022,L,breakingball,51,128.13518196367056,134.64634512384,1478.2800705882357,1762.3081
0000005572,魏碩成,中信兄弟二軍,ACN022,L,fastball,28,138.90671149042288,141.64050586752,1973.6029142857144,2189.1616
0000005604,勝騎士,中信兄弟,ACN011,R,breakingball,262,128.8119287110204,137.47911243264,2317.70262480916,2953.7034
0000005604,勝騎士,中信兄弟,ACN011,R,fastball,164,145.57776086072195,150.50474043264,2388.0085719512194,2536.6953
0000005731,布雷克,統一7-ELEVEn獅,ADD011,R,fastball,204,142.0434164191059,144.54793064448,2303.213502941178,2419.703
0000005731,布雷克,統一7-ELEVEn獅,ADD011,R,breakingball,149,132.59882017252514,142.25509824768,1611.392329731544,3263.1023
0000005788,林凱威,味全龍,AAA011,R,fastball,99,152.31172358016002,155.2576804416,2533.792467676769,2663.05
0000005788,林凱威,味全龍,AAA011,R,breakingball,82,139.314515488999,147.24546477696,2616.4498841463414,3192.8591
