year,game_kind,player_id,player_name,team_code,team_name,ba,ba_pr,bbp,bbp_pr,brl,brl_pr,brlp,chasep,chasep_pr,ev,ev_pr,hard_hitp,hard_hitp_pr,iso,iso_pr,kp,kp_pr,max_ev,max_ev_pr,obp,obp_pr,pa,prlp_pr,slg,slg_pr,whiffp,whiffp_pr,woba,woba_pr
2026,A,0000001318,朱育賢,AAA011,味全龍,0.23853211009174313,56,0.04878048780487805,41,14,99,0.16470588235294117,0.2889908256880734,40,142.3016021359059,82,0.36764705882352944,76,0.1926605504587156,96,0.21138211382113822,33,180.3822761664,98,0.3089430894308943,53,123,98,0.43119266055045874,85,0.25390625,27,0.35134959349593514,78
2026,A,0000007239,魔鷹,AKP011,台鋼雄鷹,0.3008849557522124,83,0.06451612903225806,54,13,99,0.13829787234042554,0.41545893719806765,11,143.33869906752,85,0.4583333333333333,89,0.18584070796460173,94,0.1532258064516129,62,179.15590775808,97,0.3629032258064516,82,124,95,0.48672566371681414,91,0.2074688796680498,53,0.38483471074380177,91
2026,A,0000000935,王柏融,AKP011,台鋼雄鷹,0.25806451612903225,64,0.0761904761904762,65,10,98,0.13513513513513514,0.224,68,141.07899381457656,76,0.3793103448275862,79,0.1827956989247312,94,0.20952380952380953,34,170.57536835328,76,0.3142857142857143,55,105,94,0.44086021505376344,87,0.21,50,0.35094285714285733,77
2026,A,0000001474,蘇智傑,ADD011,統一7-ELEVEn獅,0.27884615384615385,71,0.07017543859649122,58,9,96,0.09375,0.3006535947712418,38,142.8847001406558,84,0.38028169014084506,79,0.1923076923076923,95,0.08771929824561403,84,172.11328966656,79,0.3333333333333333,70,114,90,0.47115384615384615,91,0.14705882352941177,75,0.3768421052631581,86
2026,A,0000006888,張育成,AEO011,富邦悍將,0.3411764705882353,91,0.14563106796116504,90,9,96,0.13043478260869565,0.24663677130044842,53,145.83637998528002,92,0.48484848484848486,91,0.22352941176470587,98,0.1650485436893204,53,188.90542636416,99,0.44660194174757284,95,103,94,0.5647058823529412,97,0.23255813953488372,37,0.46828155339805844,96
2026,A,0000007089,王念好,AEO011,富邦悍將,0.23255813953488372,50,0.10204081632653061,76,9,96,0.13846153846153847,0.1891891891891892,77,146.6543351467717,94,0.5230769230769231,97,0.1744186046511628,93,0.22448979591836735,28,172.99889557632,85,0.3163265306122449,56,98,96,0.4069767441860465,79,0.30601092896174864,14,0.34230612244897973,74
2026,A,0000006216,王順和,AAA011,味全龍,0.3,82,0.06896551724137931,57,9,96,0.18,0.2127659574468085,72,134.61747231491123,41,0.3170731707317073,68,0.15000000000000002,91,0.3448275862068966,8,172.23724134144,80,0.3563218390804598,79,87,99,0.45,88,0.33544303797468356,8,0.3687011494252874,83
2026,A,0000003467,林泓育,AJL011,樂天桃猿,0.22,45,0.05555555555555555,47,8,94,0.0898876404494382,0.3776595744680851,18,140.08489806484803,72,0.375,78,0.1,71,0.12037037037037036,75,174.56655756672,90,0.26851851851851855,37,108,88,0.32,56,0.17258883248730963,63,0.2756851851851853,44
2026,A,0000002352,范國宸,AEO011,富邦悍將,0.3076923076923077,85,0.05309734513274336,44,8,94,0.09523809523809523,0.3112244897959184,36,138.96344671724304,64,0.28205128205128205,56,0.20192307692307687,97,0.18584070796460178,44,170.0181812736,74,0.34513274336283184,77,113,91,0.5096153846153846,95,0.16826923076923078,65,0.39165178571428594,92
2026,A,0000006738,孔念恩,AEO011,富邦悍將,0.27956989247311825,73,0.0297029702970297,31,7,93,0.0958904109589041,0.3503184713375796,24,139.04784036197998,65,0.40625,85,0.10752688172043012,76,0.24752475247524752,23,175.96963194624,94,0.297029702970297,47,101,91,0.3870967741935484,75,0.2916666666666667,17,0.3090000000000002,64
