year,game_kind,player_id,player_name,team_code,team_name,barrels,bbe,brls_bbep,brls_pap,distance_avg_hr,distance_max,ev50th,ev90th,ev_avg,ev_max,fb_ld,hard_hit,hard_hit_swing,hard_hitp,la_avg,la_sw_spp
2026,A,0000002274,黃子鵬,AKP011,台鋼雄鷹,3,109,0.08823529411764706,0.022058823529411766,118.258390356,118.900267152,156.07885089983995,166.77824510476802,141.0638314037548,172.95930571392,1.25,34,0.3119266055045872,0.3119266055045872,12.53553631192661,0.4036697247706422
2026,A,0000006749,魔力藍,AEO011,富邦悍將,4,106,0.14814814814814814,0.02666666666666667,0,114.868403232,153.5545903317011,164.705485671936,137.88755695589427,168.24703382784,1.1666666666666667,27,0.25471698113207547,0.25471698113207547,12.781473877358488,0.3867924528301887
2026,A,0000006739,李東洺,AEO011,富邦悍將,2,105,0.05,0.014492753623188406,118.599011976,119.40344928,157.38910306294156,165.61412773171202,139.20413515973485,169.73080071552,1,40,0.38095238095238093,0.38095238095238093,14.859643114285715,0.37142857142857144
2026,A,0000007790,魔爾曼,AJL011,樂天桃猿,8,105,0.25,0.05333333333333334,0,117.943292688,156.55492343121233,169.75456911705604,135.6677226504412,176.22189661824,0.52,32,0.3076923076923077,0.3047619047619048,6.537984314285714,0.29523809523809524
2026,A,0000005151,羅戈,ACN011,中信兄弟,2,104,0.07692307692307693,0.012048192771084338,111.874846608,112.88868456,153.32030540152613,167.202349091712,132.87354918369232,170.65907033472,1.1,26,0.2524271844660194,0.25,6.894831086538461,0.3076923076923077
2026,A,0000006906,艾菩樂,AJL011,樂天桃猿,3,103,0.125,0.022556390977443608,115.38351066,122.43367944,154.14717186341647,169.61766383231998,134.4781496137072,185.4612853632,1.1818181818181819,24,0.23529411764705882,0.23300970873786409,13.820938621359213,0.33980582524271846
2026,A,0000006497,鋼龍,AAA011,味全龍,4,94,0.13793103448275862,0.029197080291970802,117.367856704,124.330001784,156.71594367825702,168.11846154752,137.2011694786723,173.32951920768,0.9,29,0.30851063829787234,0.30851063829787234,11.705807734042558,0.3404255319148936
2026,A,0000006555,梅賽鍶,AAA011,味全龍,7,93,0.25,0.0603448275862069,119.301098964,124.165900512,156.94199503212522,169.20050398592002,138.72641096534713,174.56655756672,0.6774193548387096,28,0.3010752688172043,0.3010752688172043,11.31865453763441,0.45161290322580644
2026,A,0000002679,江承諺,AKP011,台鋼雄鷹,4,93,0.125,0.03418803418803419,0,115.90077912,156.4075255922922,167.79816454015997,138.32914820599743,176.22368299008,1.0869565217391304,32,0.34782608695652173,0.34408602150537637,19.44564774193548,0.3655913978494624
2026,A,0000005604,勝騎士,ACN011,中信兄弟,9,91,0.3,0.07142857142857142,109.208200176,119.9435244,157.34901653222406,168.80938868992,143.24703210071212,177.12988850304,1.7857142857142858,30,0.32967032967032966,0.32967032967032966,16.96116678021977,0.2857142857142857
2026,A,0000007597,獅帝芬,ADD011,統一7-ELEVEn獅,2,90,0.1,0.015873015873015872,0,118.623688584,152.357105747968,165.27763857792,132.372173607168,174.2023147392,1.4375,20,0.2247191011235955,0.2222222222222222,11.30079761111111,0.3111111111111111
2026,A,0000006507,後勁,AKP011,台鋼雄鷹,1,88,0.041666666666666664,0.007246376811594203,0,113.52660048,153.51486037632003,168.6816110232,134.27564388912,176.03429538816,1.125,24,0.2727272727272727,0.2727272727272727,4.621082079545456,0.29545454545454547
2026,A,0000007787,黎克,ACN011,中信兄弟,6,87,0.2727272727272727,0.05084745762711865,121.09647916800002,124.114535616,152.62025268765763,167.96347948512,131.00464697286617,170.55253176192,0.6842105263157895,22,0.25287356321839083,0.25287356321839083,4.815839482758623,0.3448275862068966
2026,A,0000007789,麥斯威尼,AJL011,樂天桃猿,3,86,0.125,0.024793388429752067,120.32067680799999,126.735361464,154.93343130954418,166.95488147184003,137.74139901370046,171.11725057152,1.1875,24,0.2823529411764706,0.27906976744186046,12.952111313953493,0.27906976744186046
2026,A,0000007074,曾家輝,AJL011,樂天桃猿,8,85,0.3076923076923077,0.06557377049180328,121.178769072,122.48869584,154.41428647542858,169.09611969888,136.26633294638683,173.86752290688,1.15,26,0.3058823529411765,0.3058823529411765,14.703194682352935,0.3764705882352941
2026,A,0000000762,伍鐸,AAA011,味全龍,5,84,0.16129032258064516,0.04854368932038835,117.44199524,122.713190184,159.25219793170285,170.70475156416,138.31440047794285,178.16482544256,1.0625,31,0.36904761904761907,0.36904761904761907,6.519187571428569,0.27380952380952384
2026,A,0000002345,鄭浩均,ACN011,中信兄弟,5,83,0.2,0.0390625,122.17086564,129.825545784,157.5854014537054,170.02798016687998,139.38908189184,173.49634380672,1,25,0.30120481927710846,0.30120481927710846,14.507015783132532,0.4819277108433735
2026,A,0000007570,坎南,AKP011,台鋼雄鷹,4,82,0.2222222222222222,0.03571428571428571,126.864666768,126.864666768,153.71115698837858,167.00980637088003,137.62022206969763,177.33277850112,0.6190476190476191,18,0.21951219512195122,0.21951219512195122,5.9769167439024375,0.35365853658536583
2026,A,0000005731,布雷克,ADD011,統一7-ELEVEn獅,4,82,0.16,0.0380952380952381,112.907295648,115.2672066,156.56785602750438,169.70157704016,140.11175330102643,176.18673245184,0.5294117647058824,25,0.3048780487804878,0.3048780487804878,9.733542280487807,0.2682926829268293
2026,A,0000001719,胡智爲,ADD011,統一7-ELEVEn獅,6,73,0.23076923076923078,0.058823529411764705,119.06354851200001,124.25053128,159.47378978432002,171.20808654500573,140.47091313139725,179.86847700096,0.5833333333333334,26,0.3561643835616438,0.3561643835616438,15.109418849315066,0.4657534246575342
2026,A,0000007062,威能帝,AJL011,樂天桃猿,3,64,0.23076923076923078,0.027777777777777776,0,116.677659456,153.10979260631996,168.78685340351998,135.70575691662,175.90062327552,1.0625,13,0.20634920634920634,0.203125,16.961887359374998,0.390625
2026,A,0000006176,余謙,ACN011,中信兄弟,0,63,0,0,0,106.548667776,152.60209515833807,166.44480458496,132.5332184643657,169.8523383744,0.4166666666666667,14,0.2222222222222222,0.2222222222222222,-3.183281063492061,0.23809523809523808
