year,game_kind,player_id,player_name,team_code,team_name,barrels,bbe,brls_bbep,brls_pap,distance_avg_hr,distance_max,ev50th,ev90th,ev_avg,ev_max,fb_ld,hard_hit,hard_hit_swing,hard_hitp,la_avg,la_sw_spp
2026,A,0000004633,陳晨威,AJL011,樂天桃猿,4,101,0.16666666666666666,0.03225806451612903,118.019632896,121.602968376,153.52911849116163,164.105584993152,137.47361325638968,172.57690948608,1.15,24,0.2376237623762376,0.2376237623762376,10.830286445544552,0.297029702970297
2026,A,0000005549,郭天信,AAA011,味全龍,2,98,0.09090909090909091,0.01694915254237288,113.98368973599999,116.38816956,152.30937208672654,163.56691842304002,135.38763376727513,168.72814721664,0.8695652173913043,22,0.22448979591836735,0.22448979591836735,8.70641063265306,0.3469387755102041
2026,A,0000000772,陳文杰,AKP011,台鋼雄鷹,3,85,0.1,0.027777777777777776,0,112.767246144,157.9862358292114,168.8755772088,140.60212152381746,173.49634380672,0.56,30,0.35294117647058826,0.35294117647058826,10.59410017647059,0.3411764705882353
2026,A,0000003467,林泓育,AJL011,樂天桃猿,7,84,0.22580645161290322,0.06796116504854369,123.378839856,123.378839856,160.4902919437714,170.21426575823997,139.20706067890276,174.56655756672,0.9444444444444444,31,0.37349397590361444,0.36904761904761907,9.88288333333333,0.27380952380952384
2026,A,0000005545,劉基鴻,AAA011,味全龍,5,84,0.15151515151515152,0.043859649122807015,119.835684636,120.264640344,160.5102849775543,169.22607825024,142.18008078459425,171.76819803264,0.7,33,0.39759036144578314,0.39285714285714285,9.860148857142855,0.30952380952380953
2026,A,0000005298,黃韋盛,ACN011,中信兄弟,1,80,0.043478260869565216,0.008928571428571428,124.165900512,124.165900512,153.87726280924807,165.50148089376,136.319641638048,168.90398414208,0.9230769230769231,23,0.2875,0.2875,3.10633945,0.3
2026,A,0000002352,范國宸,AEO011,富邦悍將,7,78,0.3181818181818182,0.0660377358490566,117.96865433400001,122.713190184,156.3528080846769,167.07586132059427,138.963446717243,170.0181812736,1.1818181818181819,22,0.28205128205128205,0.28205128205128205,20.05828156410257,0.4358974358974359
2026,A,0000001618,林子偉,AJL011,樂天桃猿,2,77,0.07692307692307693,0.019417475728155338,118.802191656,119.421380664,156.2168376072758,166.4973389376,140.68245481508578,169.14879755136,1,26,0.33766233766233766,0.33766233766233766,22.872452389610373,0.35064935064935066
2026,A,0000001474,蘇智傑,ADD011,統一7-ELEVEn獅,9,74,0.3103448275862069,0.10112359550561797,116.3893332864,123.370683408,161.0659760508195,169.86826858093715,143.6062332243892,173.5819126272,1.9,29,0.3972602739726027,0.3918918918918919,18.256358418918925,0.28378378378378377
2026,A,0000007239,魔鷹,AKP011,台鋼雄鷹,9,72,0.2727272727272727,0.0967741935483871,118.23371832000001,122.48869584,164.84825665791996,175.63847723136,143.33869906752,179.15590775808,0.9411764705882353,33,0.4583333333333333,0.4583333333333333,17.228115569444437,0.25
2026,A,0000003345,林智平,AJL011,樂天桃猿,2,72,0.1111111111111111,0.021739130434782608,0,121.79740944,153.87957190496002,166.14621456274287,136.00703854672008,174.03859617408,0.9444444444444444,18,0.25,0.25,6.920093694444444,0.3472222222222222
