year,game_kind,player_id,player_name,team_code,team_name,ba,ba_pr,bbp,bbp_pr,brl,brl_pr,brlp,chasep,chasep_pr,ev,ev_pr,hard_hitp,hard_hitp_pr,iso,iso_pr,kp,kp_pr,max_ev,max_ev_pr,obp,obp_pr,pa,prlp_pr,slg,slg_pr,whiffp,whiffp_pr,woba,woba_pr
2026,A,0000005604,勝騎士,ACN011,中信兄弟,0.23699421965317918,62,0.010869565217391304,92,11,0,0.07913669064748201,0.3125,85,142.96392348838646,20,0.33962264150943394,30,0.10982658959537572,34,0.21739130434782608,81,177.12988850304,9,0.25274725274725274,85,184,15,0.3468208092485549,41,0.2626582278481013,82,0.27474725274725287,68
2026,A,0000007790,魔爾曼,AJL011,樂天桃猿,0.22580645161290322,67,0.08522727272727272,48,9,2,0.0703125,0.3116438356164384,84,135.66772265044114,62,0.3047619047619048,40,0.0838709677419355,45,0.19318181818181818,70,176.22189661824,12,0.28735632183908044,65,176,22,0.3096774193548387,56,0.28762541806020064,92,0.27912068965517256,64
2026,A,0000007074,曾家輝,AJL011,樂天桃猿,0.22522522522522523,68,0.05737704918032787,67,9,2,0.10344827586206896,0.2680851063829787,56,136.26633294638683,58,0.3058823529411765,39,0.06306306306306306,54,0.20491803278688525,74,173.86752290688,20,0.28688524590163933,66,122,7,0.2882882882882883,65,0.2237442922374429,69,0.27808196721311496,66
2026,A,0000007789,麥斯威尼,AJL011,樂天桃猿,0.25190839694656486,46,0.09523809523809523,39,7,4,0.059322033898305086,0.3204225352112676,87,136.6426030101943,56,0.2571428571428571,58,0.13740458015267176,19,0.11564625850340136,25,171.11725057152,34,0.3219178082191781,46,147,32,0.3893129770992366,25,0.1527777777777778,30,0.33730136986301384,37
2026,A,0000006555,梅賽鍶,AAA011,味全龍,0.2857142857142857,25,0.05925925925925926,66,7,4,0.06481481481481481,0.25882352941176473,51,138.7264109653471,42,0.3010752688172043,44,0.09523809523809523,39,0.14074074074074075,39,174.56655756672,17,0.3283582089552239,43,135,26,0.38095238095238093,31,0.14901960784313725,27,0.33210447761194056,41
2026,A,0000001719,胡智爲,ADD011,統一7-ELEVEn獅,0.3103448275862069,15,0.07920792079207921,53,7,4,0.09333333333333334,0.21511627906976744,29,140.04358991782055,31,0.35135135135135137,26,0.22988505747126436,5,0.16831683168316833,58,179.86847700096,3,0.37373737373737376,27,101,11,0.5402298850574713,5,0.1871345029239766,48,0.41973737373737385,12
2026,A,0000002679,江承諺,AKP011,台鋼雄鷹,0.21804511278195488,71,0.05555555555555555,69,6,7,0.05,0.20408163265306123,25,138.48769234079998,45,0.34782608695652173,28,0.03759398496240601,72,0.10416666666666667,18,176.22368299008,11,0.26573426573426573,80,144,38,0.2556390977443609,74,0.11864406779661017,13,0.24758741258741274,83
2026,A,0000007787,黎克,ACN011,中信兄弟,0.2892561983471074,22,0.11029411764705882,30,6,7,0.0594059405940594,0.29571984435797666,74,131.00464697286617,87,0.25287356321839083,61,0.12396694214876036,23,0.14705882352941177,45,170.55253176192,42,0.36764705882352944,29,136,31,0.4132231404958678,23,0.26171875,80,0.37237500000000023,20
2026,A,0000007779,蔣銲,AAA011,味全龍,0.16822429906542055,87,0.09016393442622951,43,6,7,0.0759493670886076,0.25654450261780104,50,136.81684361965713,55,0.2222222222222222,75,0.12149532710280372,24,0.23770491803278687,86,170.59777042176,40,0.26229508196721313,82,122,19,0.2897196261682243,63,0.2849740932642487,90,0.2693278688524591,70
2026,A,0000002274,黃子鵬,AKP011,台鋼雄鷹,0.25146198830409355,47,0.05181347150259067,73,5,10,0.03164556962025317,0.27111111111111114,57,141.0638314037548,28,0.3119266055045872,38,0.1111111111111111,32,0.09844559585492228,16,172.95930571392,25,0.3036649214659686,58,193,57,0.36257309941520466,33,0.14935064935064934,28,0.3089476439790578,51
