game_id,date,game_status,kind_code,game_sno,week,inning_seq,field_no,field_name,pre_exe_date,visiting_team_code,visiting_team_name,visiting_score,visiting_record_w,visiting_record_l,visiting_record_t,home_team_code,home_team_name,home_score,home_record_w,home_record_l,home_record_t,winning_pitcher_acnt,winning_pitcher_name,loser_pitcher_acnt,loser_pitcher_name,closer_acnt,closer_name,skip_trackman,visiting_home_type
2026-A-9,2026-04-01,FINISHED,A,9,14,9,F23,樂天桃園,2026-04-01T18:35:00,AKP011,台鋼雄鷹,6,2,1,0,AJL011,樂天桃猿,1,1,3,0,0000007053,艾速特,0000007789,麥斯威尼,,,False,2
2026-A-10,2026-04-01,FINISHED,A,10,14,9,F31,亞太主,2026-04-01T18:35:00,AEO011,富邦悍將,2,2,1,0,ADD011,統一7-ELEVEn獅,4,2,1,0,0000001260,郭俊麟,0000000368,游霆崴,0000007293,鍾允華,False,2
2026-D-7,2026-04-01,POSTPONED,D,7,14,10,F30,亞太副,2026-04-01T14:05:00,AKP022,台鋼雄鷹二軍,0,9,2,1,AEO022,富邦悍將二軍,0,8,3,1,,,,,,,False,2
2026-D-8,2026-04-01,POSTPONED,D,8,14,9,F24,青埔,2026-04-01T14:05:00,AAA022,味全龍二軍,0,7,8,0,AJL022,樂天桃猿二軍,0,7,6,0,,,,,,,False,2
2026-D-9,2026-04-02,FINISHED,D,9,14,9,F26,園區,2026-04-02T14:05:00,AEO022,富邦悍將二軍,2,3,0,1,ACN022,中信兄弟二軍,1,0,1,0,0000007783,*阿部雄大,0000006006,*德保拉,,,False,2
2026-D-10,2026-04-02,FINISHED,D,10,14,9,F13,斗六,2026-04-02T14:05:00,ADD022,統一7-ELEVEn獅二軍,4,0,3,0,AAA022,味全龍二軍,5,1,3,0,0000006236,楊鈺翔,0000006711,李承鴻,0000007607,*何宗旂,False,2
2026-A-11,2026-04-03,FINISHED,A,11,14,9,F19,洲際,2026-04-03T17:05:00,ADD011,統一7-ELEVEn獅,6,3,1,0,ACN011,中信兄弟,2,1,4,0,0000007778,喬登,0000005151,羅戈,,,False,2
2026-A-12,2026-04-03,FINISHED,A,12,14,9,F08,新莊,2026-04-03T17:05:00,AJL011,樂天桃猿,2,1,4,0,AEO011,富邦悍將,3,3,1,0,0000005790,張奕,0000005509,莊昕諺,0000006227,曾峻岳,False,2
2026-A-13,2026-04-03,FINISHED,A,13,14,9,F10,天母,2026-04-03T17:05:00,AKP011,台鋼雄鷹,4,2,2,0,AAA011,味全龍,5,3,1,0,0000005555,陳冠偉,0000007580,韋宏亮,,,False,2
2026-D-11,2026-04-03,FINISHED,D,11,14,9,F26,園區,2026-04-03T14:05:00,AEO022,富邦悍將二軍,7,4,0,1,ACN022,中信兄弟二軍,0,0,2,0,0000003292,賴鴻誠,0000007788,*陶樂,,,False,2
2026-D-12,2026-04-03,FINISHED,D,12,14,9,F13,斗六,2026-04-03T14:05:00,ADD022,統一7-ELEVEn獅二軍,6,0,4,0,AAA022,味全龍二軍,7,2,3,0,0000006724,曹祐齊,0000007606,吳紹遠,,,False,2
2026-A-14,2026-04-04,POSTPONED,A,14,14,1,F19,洲際,2026-04-04T17:05:00,ADD011,統一7-ELEVEn獅,0,0,0,0,ACN011,中信兄弟,0,0,0,0,,,,,,,False,1
2026-A-15,2026-04-04,POSTPONED,A,15,14,1,F08,新莊,2026-04-04T17:05:00,AJL011,樂天桃猿,0,0,0,0,AEO011,富邦悍將,0,0,0,0,,,,,,,False,1
2026-A-16,2026-04-04,FINISHED,A,16,14,9,F10,天母,2026-04-04T17:05:00,AKP011,台鋼雄鷹,7,3,2,0,AAA011,味全龍,6,3,2,0,0000006767,許育銘,0000006160,李超,0000006949,林詩翔,False,2
2026-D-13,2026-04-04,POSTPONED,D,13,14,1,F26,園區,2026-04-04T14:05:00,ADD022,統一7-ELEVEn獅二軍,0,0,0,0,ACN022,中信兄弟二軍,0,0,0,0,,,,,,,False,1
2026-D-14,2026-04-04,POSTPONED,D,14,14,9,F32,皇鷹學院,2026-04-04T14:05:00,AJL022,樂天桃猿二軍,0,8,9,0,AKP022,台鋼雄鷹二軍,0,13,5,1,,,,,,,False,2
2026-A-17,2026-04-05,FINISHED,A,17,14,9,F10,天母,2026-04-05T16:05:00,AKP011,台鋼雄鷹,1,3,3,0,AAA011,味全龍,2,4,2,0,0000005788,林凱威,0000006767,許育銘,,,False,2
2026-A-18,2026-04-05,FINISHED,A,18,14,9,F19,洲際,2026-04-05T17:05:00,ADD011,統一7-ELEVEn獅,9,4,1,0,ACN011,中信兄弟,4,1,5,0,0000007597,獅帝芬,0000007787,黎克,,,False,2
2026-A-19,2026-04-05,FINISHED,A,19,14,9,F08,新莊,2026-04-05T17:05:00,AJL011,樂天桃猿,5,2,4,0,AEO011,富邦悍將,1,3,2,0,0000006906,艾菩樂,0000007782,威戈神,,,False,2
2026-D-15,2026-04-05,FINISHED,D,15,14,9,F32,皇鷹學院,2026-04-05T14:05:00,AJL022,樂天桃猿二軍,0,1,1,0,AKP022,台鋼雄鷹二軍,10,3,0,1,0000007570,坎南,0000004624,陳克羿,,,False,2
2026-A-20,2026-04-06,FINISHED,A,20,15,9,F09,澄清湖,2026-04-06T16:05:00,ADD011,統一7-ELEVEn獅,4,4,2,0,AKP011,台鋼雄鷹,7,4,3,0,0000006507,後勁,0000001719,胡智爲,,,False,2
